Potential(1),I(1),Scan(1),Potential(2),I(2),Scan(2),Potential(3),I(3),Scan(3),Voltage,Current
0.495147705,-4.67E-08,2,0.495330811,4.54407E-06,2,0.495391846,5.53284E-06,2,0.49529012,3.3434E-06
0.492706299,-3.52E-07,2,0.492858887,4.24805E-06,2,0.492889404,5.34058E-06,2,0.492818197,3.07892E-06
0.490234375,-6.87E-07,2,0.490417481,3.96271E-06,2,0.490386963,5.14221E-06,2,0.490346273,2.80599E-06
0.487731934,-9.34E-07,2,0.488037109,3.70636E-06,2,0.487976074,4.97437E-06,2,0.487915039,2.5824E-06
0.485321045,-1.33E-06,2,0.485778809,3.38013E-06,2,0.485534668,4.7699E-06,2,0.485544841,2.27285E-06
0.482849121,-1.59E-06,2,0.48324585,3.11859E-06,2,0.483123779,4.59045E-06,2,0.483072917,2.0399E-06
0.480438232,-1.89E-06,2,0.480712891,2.86011E-06,2,0.480712891,4.40735E-06,2,0.480621338,1.79301E-06
0.478027344,-2.12E-06,2,0.478393555,2.63336E-06,2,0.478302002,4.24469E-06,2,0.478240967,1.58763E-06
0.47543335,-2.46E-06,2,0.475891113,2.33734E-06,2,0.476074219,4.04297E-06,2,0.475799561,1.30829E-06
0.473083496,-2.66E-06,2,0.47341919,2.12769E-06,2,0.47354126,3.8913E-06,2,0.473347982,1.11867E-06
0.470611572,-2.96E-06,2,0.470947266,1.84418E-06,2,0.471099854,3.71307E-06,2,0.47088623,8.67004E-07
0.468109131,-3.25E-06,2,0.468444824,1.58417E-06,2,0.468688965,3.54218E-06,2,0.468414307,6.26221E-07
0.465637207,-3.48E-06,2,0.466125488,1.34552E-06,2,0.466217041,3.3844E-06,2,0.465993245,4.15953E-07
0.463226318,-3.68E-06,2,0.463592529,1.17706E-06,2,0.463775635,3.23456E-06,2,0.463531494,2.43937E-07
0.460723877,-3.97E-06,2,0.461181641,8.69141E-07,2,0.461303711,3.05756E-06,2,0.461069743,-1.33244E-08
0.458343506,-4.19E-06,2,0.458709717,6.65283E-07,2,0.458770752,2.91107E-06,2,0.458607992,-2.03755E-07
0.455780029,-4.42E-06,2,0.456207275,4.34875E-07,2,0.456359863,2.75543E-06,2,0.456115723,-4.08731E-07
0.453308106,-4.62E-06,2,0.453826904,2.09351E-07,2,0.453948975,2.60284E-06,2,0.453694662,-6.03128E-07
0.450866699,-4.85E-06,2,0.451263428,6.71387E-09,2,0.451477051,2.45239E-06,2,0.451202393,-7.95695E-07
0.448486328,-4.97E-06,2,0.448944092,-1.77002E-07,2,0.449127197,2.32697E-06,2,0.448852539,-9.39942E-07
0.446044922,-5.27E-06,2,0.446472168,-4.43115E-07,2,0.446594238,2.16156E-06,2,0.446370443,-1.18378E-06
0.443603516,-5.44E-06,2,0.443328857,-6.68701E-07,2,0.444091797,2.02118E-06,2,0.443674723,-1.36375E-06
0.441070557,-5.65E-06,2,0.441467285,-8.55408E-07,2,0.441619873,1.88171E-06,2,0.441385905,-1.54124E-06
0.438690186,-5.79E-06,2,0.439056397,-1.03058E-06,2,0.439300537,1.75598E-06,2,0.439015707,-1.68752E-06
0.436157227,-6.03E-06,2,0.436523438,-1.27563E-06,2,0.436767578,1.59912E-06,2,0.436482748,-1.90246E-06
0.434143066,-6.17E-06,2,0.434112549,-1.44073E-06,2,0.434326172,1.48254E-06,2,0.434193929,-2.04397E-06
0.43170166,-6.38E-06,2,0.431671143,-1.67786E-06,2,0.431854248,1.33606E-06,2,0.43174235,-2.23999E-06
0.429229736,-6.59E-06,2,0.429138184,-1.8634E-06,2,0.429412842,1.19659E-06,2,0.429260254,-2.41852E-06
0.426757813,-6.74E-06,2,0.42678833,-2.0755E-06,2,0.427001953,1.07849E-06,2,0.426849365,-2.57741E-06
0.424285889,-6.88E-06,2,0.424285889,-2.20978E-06,2,0.424530029,9.61609E-07,2,0.424367269,-2.70996E-06
0.421813965,-7.09E-06,2,0.421844482,-2.47711E-06,2,0.422058106,8.19702E-07,2,0.421905518,-2.91453E-06
0.419433594,-7.26E-06,2,0.419433594,-2.64252E-06,2,0.419616699,6.90308E-07,2,0.419494629,-3.06976E-06
0.416992188,-7.42E-06,2,0.416900635,-2.83936E-06,2,0.417175293,5.67017E-07,2,0.417022705,-3.22937E-06
0.414489746,-7.57E-06,2,0.414459229,-3.01117E-06,2,0.414703369,4.52271E-07,2,0.414550781,-3.37575E-06
0.412017822,-7.73E-06,2,0.411987305,-3.20099E-06,2,0.412231445,3.28064E-07,2,0.412078857,-3.53536E-06
0.409667969,-7.83E-06,2,0.409576416,-3.34778E-06,2,0.409820557,2.26349E-07,2,0.409688314,-3.65176E-06
0.40713501,-8.08E-06,2,0.40713501,-3.56903E-06,2,0.40737915,8.56628E-08,2,0.40721639,-3.85379E-06
0.404724121,-8.19E-06,2,0.404632568,-3.75702E-06,2,0.404937744,-2.85339E-08,2,0.404764811,-3.99216E-06
0.40234375,-8.35E-06,2,0.402160645,-3.91876E-06,2,0.402313232,-1.52435E-07,2,0.402272542,-4.14129E-06
0.399841309,-8.44E-06,2,0.399780273,-4.07196E-06,2,0.399841309,-2.50031E-07,2,0.399820964,-4.25235E-06
0.397399902,-8.65E-06,2,0.397247315,-4.28772E-06,2,0.397186279,-3.82385E-07,2,0.397277832,-4.44163E-06
0.394958496,-8.73E-06,2,0.394897461,-4.42627E-06,2,0.394805908,-4.77814E-07,2,0.394887288,-4.54505E-06
0.392456055,-8.91E-06,2,0.392333984,-4.63379E-06,2,0.392303467,-5.96863E-07,2,0.392364502,-4.71189E-06
0.390075684,-9.07E-06,2,0.389984131,-4.80621E-06,2,0.389709473,-7.13959E-07,2,0.389923096,-4.86333E-06
0.387664795,-9.18E-06,2,0.387420654,-4.97589E-06,2,0.387817383,-8.07495E-07,2,0.387634277,-4.98769E-06
0.385192871,-9.28E-06,2,0.385070801,-5.09491E-06,2,0.385406494,-9.04846E-07,2,0.385223389,-5.09237E-06
0.382720947,-9.47E-06,2,0.382568359,-5.32623E-06,2,0.3828125,-1.02356E-06,2,0.382700602,-5.27313E-06
0.380279541,-9.59E-06,2,0.380065918,-5.47241E-06,2,0.380401611,-1.12457E-06,2,0.380249023,-5.39622E-06
0.377868652,-9.70E-06,2,0.377716065,-5.65002E-06,2,0.37789917,-1.22833E-06,2,0.377827962,-5.52562E-06
0.375366211,-9.83E-06,2,0.375213623,-5.80078E-06,2,0.375518799,-1.33026E-06,2,0.375366211,-5.65358E-06
0.37298584,-9.97E-06,2,0.372741699,-5.96588E-06,2,0.37310791,-1.43097E-06,2,0.37294515,-5.78898E-06
0.370513916,-1.00E-05,2,0.370391846,-6.0907E-06,2,0.370697022,-1.51306E-06,2,0.370534261,-5.87322E-06
0.368164063,-1.02E-05,2,0.368286133,-6.29272E-06,2,0.368164063,-1.64001E-06,2,0.368204753,-6.05611E-06
0.365600586,-1.03E-05,2,0.365753174,-6.45447E-06,2,0.365722656,-1.72729E-06,2,0.365692139,-6.17169E-06
0.36315918,-1.05E-05,2,0.363342285,-6.5918E-06,2,0.36328125,-1.83044E-06,2,0.363260905,-6.29355E-06
0.360748291,-1.05E-05,2,0.360931397,-6.73523E-06,2,0.360839844,-1.90613E-06,2,0.360839844,-6.38795E-06
0.358306885,-1.07E-05,2,0.358428955,-6.92444E-06,2,0.35836792,-2.02637E-06,2,0.35836792,-6.55214E-06
0.355926514,-1.08E-05,2,0.356079102,-7.04651E-06,2,0.355895996,-2.10175E-06,2,0.355967204,-6.63522E-06
0.353485107,-1.09E-05,2,0.353546143,-7.20825E-06,2,0.353485107,-2.20825E-06,2,0.353505452,-6.77043E-06
0.350952148,-1.10E-05,2,0.351165772,-7.33948E-06,2,0.351074219,-2.28882E-06,2,0.351064046,-6.87153E-06
0.348602295,-1.11E-05,2,0.348693848,-7.51038E-06,2,0.348602295,-2.37823E-06,2,0.348632813,-6.999E-06
0.346160889,-1.12E-05,2,0.346282959,-7.62024E-06,2,0.346160889,-2.45941E-06,2,0.346201579,-7.08608E-06
0.343688965,-1.13E-05,2,0.343811035,-7.83081E-06,2,0.343780518,-2.57233E-06,2,0.343760173,-7.24985E-06
0.341247559,-1.15E-05,2,0.341369629,-7.95288E-06,2,0.341308594,-2.66144E-06,2,0.341308594,-7.35994E-06
0.338775635,-1.16E-05,2,0.33895874,-8.11768E-06,2,0.338897705,-2.75085E-06,2,0.33887736,-7.47721E-06
0.336364746,-1.17E-05,2,0.336547852,-8.24585E-06,2,0.336395264,-2.83661E-06,2,0.336435954,-7.58515E-06
0.333953857,-1.18E-05,2,0.333984375,-8.40454E-06,2,0.333984375,-2.92725E-06,2,0.333974202,-7.70183E-06
